min_train_loss=0.202, at batch_size=1024, rnn_size=500, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.189, at batch_size=1024, rnn_size=500, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=500, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.221, at batch_size=1024, rnn_size=500, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.203, at batch_size=1024, rnn_size=500, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.188, at batch_size=1024, rnn_size=500, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=500, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.638, at batch_size=2048, rnn_size=200, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.468, at batch_size=2048, rnn_size=200, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.373, at batch_size=2048, rnn_size=200, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.203, at batch_size=2048, rnn_size=200, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.513, at batch_size=2048, rnn_size=200, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.402, at batch_size=2048, rnn_size=200, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.295, at batch_size=2048, rnn_size=200, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.193, at batch_size=2048, rnn_size=200, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.472, at batch_size=2048, rnn_size=200, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.382, at batch_size=2048, rnn_size=200, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.277, at batch_size=2048, rnn_size=200, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.195, at batch_size=2048, rnn_size=200, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.315, at batch_size=2048, rnn_size=300, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.257, at batch_size=2048, rnn_size=300, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.220, at batch_size=2048, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.181, at batch_size=2048, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.270, at batch_size=2048, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.241, at batch_size=2048, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.210, at batch_size=2048, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.181, at batch_size=2048, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.275, at batch_size=2048, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.230, at batch_size=2048, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.206, at batch_size=2048, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.180, at batch_size=2048, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.252, at batch_size=2048, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.224, at batch_size=2048, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.201, at batch_size=2048, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.180, at batch_size=2048, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.234, at batch_size=2048, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.214, at batch_size=2048, rnn_size=400, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.201, at batch_size=2048, rnn_size=400, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=2048, rnn_size=400, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.228, at batch_size=2048, rnn_size=400, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.215, at batch_size=2048, rnn_size=400, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.198, at batch_size=2048, rnn_size=400, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=2048, rnn_size=400, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.229, at batch_size=2048, rnn_size=500, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.214, at batch_size=2048, rnn_size=500, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.196, at batch_size=2048, rnn_size=500, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=2048, rnn_size=500, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.214, at batch_size=2048, rnn_size=500, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.205, at batch_size=2048, rnn_size=500, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.194, at batch_size=2048, rnn_size=500, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.178, at batch_size=2048, rnn_size=500, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.215, at batch_size=2048, rnn_size=500, embed_dim=300, keep_prob=0.7, num_layers=1
